epoch,loss
1,0.5830859541893005
2,0.34181469678878784
3,0.2934094965457916
4,0.26773518323898315
5,0.261741042137146
6,0.25920823216438293
7,0.23030690848827362
8,0.21860553324222565
9,0.22805777192115784
10,0.20886212587356567
11,0.20518215000629425
12,0.20701631903648376
13,0.18982040882110596
14,0.20238403975963593
15,0.184576615691185
16,0.18321628868579865
17,0.17875953018665314
18,0.1854284554719925
19,0.17458005249500275
20,0.1807105839252472
21,0.1667824536561966
22,0.16778987646102905
23,0.16491594910621643
24,0.16447168588638306
25,0.15144093334674835
26,0.15191611647605896
27,0.15340688824653625
28,0.15695270895957947
29,0.14824028313159943
30,0.15327024459838867
